id,common_name,class,role,trophic_simp,log_mass
1,Alewife,1,1,1,2.301029996
2,Mole Salamander,2,1,2,1.230448921
3,Lesser Sand Eel,2,2,1,0.294466226
4,Sand Lace,1,2,3,0.271841607
5,Snow goose,3,1,1,3.420945406
6,Minke Whale,4,3,3,7
7,Blue Whale,4,3,3,8.278753601
8,Pygmy Whale,4,3,3,7.698970004
9,Fin Whale,4,3,3,7.903089987
10,Red-lined triggerfish,1,1,1,1.92808846
11,Burrowing bettong,4,3,1,3.176091259
12,Gray Wolf,4,1,3,4.48784512
13,Bull Shark,1,1,3,5.500373714
14,Blacktip Shark,1,1,3,5.089198367
15,Dusky Shark,1,1,3,5.539703239
16,Sandbar Shark,1,1,3,5.071513805
17,Loggerhead Sea Turtle,2,3,1,5.194514342
18,Seba's short tailed bat,4,3,1,1.305995883
19,North American beaver ,4,3,1,4.338854746
20,Eurasian Beaver,4,3,1,4.278753601
21,Dwarf Cassowary,3,3,1,4.544068044
22,Gulper shark,1,1,3,2.634789527
23,Black-casqued Hornbill,3,3,1,3.204119983
24,Brown-cheeked Hornbill,3,3,1,3.016197354
25,Bailey's Pocket Mouse,4,3,1,1.419955748
26,Atlantic Herring,1,2,3,3.021189299
27,Yellow-shafted Flicker,1,3,1,2.086003706
28,European Bullhead,1,1,1,1.246990699
29,Nile crocodile,2,3,3,5.949058533
30,Gunnison's Prairie Dog,4,3,1,2.966141733
31,Black-tailed Prarie Dog,4,3,1,2.981365509
32,Three Spotted Damselfish,1,3,1,1.934498451
33,Common Dolphin,4,1,3,4.903089987
34,Black Sea Common Dolphin,4,1,3,5.301029996
35,Sheephead Bream,1,1,1,3.225309282
36,Giant Kangaroo Rat,4,3,1,2.127104798
37,Merriam's Kangaroo Rat,4,3,1,1.62324929
38,Ord's Kangaroo Rat,4,3,1,1.781036939
39,Banner-tailed kangaroo rat,4,3,1,2.133538908
40,Stephen's Kangaroo Rat,4,3,1,1.843855423
41,Flying Fox,4,3,1,2.667452953
42,Patagonian Mara,4,3,1,3.903089987
43,Black woodpecker,1,3,2,2.506505032
44,Fruit Pigeon,1,3,1,2.754348336
45,European Anchovy,1,1,1,1.324282455
46,Sea Otter,4,1,1,4.371067862
47,Dusky Grouper,1,1,3,1.77815125
48,Gray Whale,4,3,1,7.45484486
49,Northern Pike,1,1,3,4.544068044
50,Threespot Damselfish,1,3,1,0.898725182
51,Atlantic Cod,1,1,1,4.982271233
52,Tiger Shark,1,1,3,5.907088745
53,Blackmouth Catshark,1,1,3,3.136720567
54,Plains Pocket Gopher,4,3,1,2.309630167
55,Northern Flying Squirrel,4,3,1,2.220108088
56,Gopher tortoise,2,3,1,3.740362689
57,African black oystercatchers,3,1,2,2.840106094
58,Grey seal ,4,1,3,5.602059991
59,California Roach,1,1,1,1.544811912
60,Silver-cheeked Toadfish,1,1,3,3.84509804
61,Plains Vizcacha,4,3,1,3.667266119
62,Audouin's Gull,3,1,2,2.728353782
63,Southern hairy-nosed wombat,4,3,1,4.40654018
64,Snowshoe hare,4,2,1,3.23299611
65,Blackbellied Angler,1,1,3,2.849763273
66,African elephant,4,3,1,6.59549997
67,Eurasian Lynx,4,1,3,4.254064453
68,Iberian lynx,4,1,3,3.973127854
69,Greater Bilby,4,3,1,3.130333768
70,Noisy miner,3,1,1,1.959041392
71,Himalayan Marmot,4,3,1,3.819543936
72,Siberian Marmot,4,3,1,3.903089987
73,Slender-snouted crocodile,2,1,3,5.361727836
74,Humpback Whale,4,3,3,7.477121255
75,European Hake,1,1,3,4.176091259
76,Spotted Bass,1,1,3,3.667452953
77,Largemouth Bass,1,1,1,4.004321374
78,Mediterranean Monk Seal,4,1,3,5.477121255
79,Bat Ray,1,1,3,4.914343157
80,Hornyhead Chub ,1,3,1,1.292256071
81,Eastern Newt,2,1,2,0.903089987
82,Plateau Pika,4,3,1,2.202678994
83,American Pika,4,3,1,2.198657087
84,Degu,4,1,1,2.322219295
85,White tailed Deer,4,1,1,4.744363404
86,Sockeye Salmon,1,1,3,3.887054378
87,European Rabbit,4,2,1,3.33243846
88,African Dwarf Crocodile,2,3,2,4.265795536
89,Ice Rats,4,3,1,2.025305865
90,California Ground Squirrel,4,3,1,2.762678564
91,Harp Seal,4,1,1,5.113943352
92,Jaguar,4,1,3,4.975431809
93,Springhare,4,3,1,3.498999364
94,European Perch,1,1,3,3.67669361
95,Great Cormorant,3,1,2,3.402948829
96,Harbor Seal,4,1,3,4.939519253
97,Harbor Porpoise,4,1,3,4.77815125
98,Black Sea Harbor Porpoise,4,1,3,4.698970004
99,Bluefish,1,1,1,4.158362492
100,Orii's flying fox,4,3,1,2.638489257
101,Samoan Flying Fox,4,3,1,2.491361694
102,Pacific Flying Fox,4,3,1,2.621176282
103,Puma,4,1,3,4.51851394
104,Ringed Seal,4,2,3,4.73239376
105,Burmese Python,2,1,2,5.136720567
106,Blyth's Hornbill,3,1,1,3.231418614
107,Rainbow Trout,1,1,3,4.404833717
108,Atlantic Salmon,1,1,3,4.670245853
109,Brown Trout,1,1,3,4.698970004
110,Zander,1,1,3,4.301029996
111,Atlantic Bonito,1,1,1,4.041392685
112,European Pilchard,1,1,3,1.165837625
113,Round sardinella,1,1,3,2.62324929
114,Atlantic mackerel,1,1,3,3.531478917
115,Turbot,1,1,3,4.397940009
116,Dusky Spinefoot,1,1,1,2.072102779
117,Marbled Spinefoot,1,1,1,1.930898114
118,Lesser Siren,2,3,1,1.698970004
119,European Ground Squirrel,4,3,2,2.462397998
120,Red-naped Sapsucker,3,3,2,1.703291378
121,Scalloped Hammerhead,1,1,3,5.182984967
122,European Sprat,1,1,1,0.86332286
123,Spiny Dogfish,1,1,3,3.959041392
124,Yelloweye Damselfish,1,1,1,1.832508913
125,Little yellow shouldered Bat,4,3,1,1.371067862
126,Marsh rabbit,4,1,1,3.230448921
127,Alaska Pollock,1,1,3,3.58546073
128,Botta's Pocket Gopher,4,3,1,2.06069784
129,Yellowfin Tuna,1,1,1,5.301029996
130,Atlantic Bluefin Tuna,1,1,3,5.835056102
131,Common Bottlenose Dolphin,4,1,3,5.243038049
132,Black Sea Bottlenose Dolphin,4,1,3,5.243038049
133,Snow leopard,4,1,3,4.645097901
